"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"MK641734","1701","Human","4 (HA)","H3N2","China","N","2012/12/24","Influenza A virus (A/China/41303/2012)","","","","","","c"
"MK641735","1701","Human","4 (HA)","H3N2","China","N","2012/12/24","Influenza A virus (A/China/41304/2012)","","","","","","c"
"MK641736","1701","Human","4 (HA)","H3N2","China","N","2013/01/05","Influenza A virus (A/China/41678/2013)","","","","","","c"
"MK641737","1701","Human","4 (HA)","H3N2","China","N","2013/01/05","Influenza A virus (A/China/41691/2013)","","","","","","c"
"KM208530","1701","Human","4 (HA)","H3N2","China","N","2013/01/29","Influenza A virus (A/Hangzhou/B48/2013(H3N2))","","","","","","c"
"MF150433","1701","Human","4 (HA)","H3N2","China","N","2013/02/14","Influenza A virus (A/Guangdong/9/2013(H3N2))","","","","","","c"
"KM208531","1701","Human","4 (HA)","H3N2","China","N","2013/02/17","Influenza A virus (A/Hangzhou/A121/2013(H3N2))","","","","","","c"
"KM208532","1701","Human","4 (HA)","H3N2","China","N","2013/02/19","Influenza A virus (A/Hangzhou/A126/2013(H3N2))","","","","","","c"
"KM208533","1701","Human","4 (HA)","H3N2","China","N","2013/02/25","Influenza A virus (A/Hangzhou/A155/2013(H3N2))","","","","","","c"
"KM208534","1701","Human","4 (HA)","H3N2","China","N","2013/03/01","Influenza A virus (A/Hangzhou/A158/2013(H3N2))","","","","","","c"
"MF150435","1701","Human","4 (HA)","H3N2","China","N","2013/03/26","Influenza A virus (A/Guangdong/114/2013(H3N2))","","","","","","c"
"MF150434","1701","Human","4 (HA)","H3N2","China","N","2013/03/27","Influenza A virus (A/Guangdong/54/2013(H3N2))","","","","","","c"
"MK641738","1701","Human","4 (HA)","H3N2","China","N","2013/04/09","Influenza A virus (A/China/44381/2013)","","","","","","c"
"MF150436","1701","Human","4 (HA)","H3N2","China","N","2013/06/25","Influenza A virus (A/Guangdong/403/2013(H3N2))","","","","","","c"
"MF150437","1701","Human","4 (HA)","H3N2","China","N","2013/07/01","Influenza A virus (A/Guangdong/424/2013(H3N2))","","","","","","c"
"KM208535","1701","Human","4 (HA)","H3N2","China","N","2013/07/08","Influenza A virus (A/Hangzhou/A429/2013(H3N2))","","","","","","c"
"KM208536","1701","Human","4 (HA)","H3N2","China","N","2013/07/29","Influenza A virus (A/Hangzhou/A469/2013(H3N2))","","","","","","c"
"MF150438","1701","Human","4 (HA)","H3N2","China","N","2013/08/14","Influenza A virus (A/Guangdong/473/2013(H3N2))","","","","","","c"
"KM208537","1701","Human","4 (HA)","H3N2","China","N","2013/08/15","Influenza A virus (A/Hangzhou/A511/2013(H3N2))","","","","","","c"
"KM208538","1701","Human","4 (HA)","H3N2","China","N","2013/08/27","Influenza A virus (A/Hangzhou/A544/2013(H3N2))","","","","","","c"
"MF150439","1701","Human","4 (HA)","H3N2","China","N","2013/09/02","Influenza A virus (A/Guangdong/519/2013(H3N2))","","","","","","c"
"KM208539","1701","Human","4 (HA)","H3N2","China","N","2013/09/15","Influenza A virus (A/Hangzhou/A601/2013(H3N2))","","","","","","c"
"KM208540","1701","Human","4 (HA)","H3N2","China","N","2013/10/10","Influenza A virus (A/Hangzhou/A649/2013(H3N2))","","","","","","c"
"KM208541","1701","Human","4 (HA)","H3N2","China","N","2013/10/10","Influenza A virus (A/Hangzhou/A662/2013(H3N2))","","","","","","c"
"KM208542","1701","Human","4 (HA)","H3N2","China","N","2013/10/10","Influenza A virus (A/Hangzhou/A666/2013(H3N2))","","","","","","c"
"KM208544","1701","Human","4 (HA)","H3N2","China","N","2013/10/15","Influenza A virus (A/Hangzhou/B599/2013(H3N2))","","","","","","c"
"KM208545","1701","Human","4 (HA)","H3N2","China","N","2013/10/15","Influenza A virus (A/Hangzhou/B600/2013(H3N2))","","","","","","c"
"MG196335","1701","Human","4 (HA)","H3N2","China","N","2013/10/15","Influenza A virus (A/Beijinghuairou/483/2013(H3N2))","","","","","","c"
"KM208546","1701","Human","4 (HA)","H3N2","China","N","2013/10/18","Influenza A virus (A/Hangzhou/A691/2013(H3N2))","","","","","","c"
"KJ567658","1701","Human","4 (HA)","H3N2","China","N","2013/10/21","Influenza A virus (A/Zhongshan/01/2013(H3N2))","","","","","","c"
"KJ567659","1701","Human","4 (HA)","H3N2","China","N","2013/10/21","Influenza A virus (A/Zhongshan/02/2013(H3N2))","","","","","","c"
"MG196336","1701","Human","4 (HA)","H3N2","China","N","2013/10/30","Influenza A virus (A/Beijinghuairou/645/2013(H3N2))","","","","","","c"
"MG196337","1701","Human","4 (HA)","H3N2","China","N","2013/11/02","Influenza A virus (A/Beijinghuairou/651/2013(H3N2))","","","","","","c"
"MG196338","1701","Human","4 (HA)","H3N2","China","N","2013/11/05","Influenza A virus (A/Beijinghuairou/678/2013(H3N2))","","","","","","c"
"MG196339","1701","Human","4 (HA)","H3N2","China","N","2013/11/05","Influenza A virus (A/Beijinghuairou/690/2013(H3N2))","","","","","","c"
"MG196333","1701","Human","4 (HA)","H3N2","China","N","2013/11/06","Influenza A virus (A/Beijinghuairou/1092/2013(H3N2))","","","","","","c"
"KM208549","1701","Human","4 (HA)","H3N2","China","N","2013/11/15","Influenza A virus (A/Hangzhou/A773/2013(H3N2))","","","","","","c"
"KM208550","1701","Human","4 (HA)","H3N2","China","N","2013/11/15","Influenza A virus (A/Hangzhou/B690/2013(H3N2))","","","","","","c"
"KM208551","1701","Human","4 (HA)","H3N2","China","N","2013/11/18","Influenza A virus (A/Hangzhou/A776/2013(H3N2))","","","","","","c"
"KM208552","1701","Human","4 (HA)","H3N2","China","N","2013/11/18","Influenza A virus (A/Hangzhou/A779/2013(H3N2))","","","","","","c"
"MH393236","1701","Human","4 (HA)","H3N2","China","N","2013/11/18","Influenza A virus (A/China/718/2013)","","","","","","c"
"KM208553","1701","Human","4 (HA)","H3N2","China","N","2013/11/21","Influenza A virus (A/Hangzhou/A784/2013(H3N2))","","","","","","c"
"KM208554","1701","Human","4 (HA)","H3N2","China","N","2013/11/21","Influenza A virus (A/Hangzhou/A789/2013(H3N2))","","","","","","c"
"MG196334","1701","Human","4 (HA)","H3N2","China","N","2013/11/21","Influenza A virus (A/Beijinghuairou/1216/2013(H3N2))","","","","","","c"
"KM208556","1701","Human","4 (HA)","H3N2","China","N","2013/11/25","Influenza A virus (A/Hangzhou/A796/2013(H3N2))","","","","","","c"
"KM208557","1701","Human","4 (HA)","H3N2","China","N","2013/11/25","Influenza A virus (A/Hangzhou/A800/2013(H3N2))","","","","","","c"
"KM208559","1701","Human","4 (HA)","H3N2","China","N","2013/11/25","Influenza A virus (A/Hangzhou/B721/2013(H3N2))","","","","","","c"
"KM208561","1701","Human","4 (HA)","H3N2","China","N","2013/11/27","Influenza A virus (A/Hangzhou/A806/2013(H3N2))","","","","","","c"
"KM208562","1701","Human","4 (HA)","H3N2","China","N","2013/11/27","Influenza A virus (A/Hangzhou/B728/2013(H3N2))","","","","","","c"
"MG196340","1701","Human","4 (HA)","H3N2","China","N","2013/12/01","Influenza A virus (A/Beijinghuairou/712/2013(H3N2))","","","","","","c"
"KM208564","1701","Human","4 (HA)","H3N2","China","N","2013/12/04","Influenza A virus (A/Hangzhou/A812/2013(H3N2))","","","","","","c"
"KM208567","1701","Human","4 (HA)","H3N2","China","N","2013/12/05","Influenza A virus (A/Hangzhou/A831/2013(H3N2))","","","","","","c"
"KM208568","1701","Human","4 (HA)","H3N2","China","N","2013/12/05","Influenza A virus (A/Hangzhou/B750/2013(H3N2))","","","","","","c"
"KM208569","1701","Human","4 (HA)","H3N2","China","N","2013/12/05","Influenza A virus (A/Hangzhou/B754/2013(H3N2))","","","","","","c"
"MG196341","1701","Human","4 (HA)","H3N2","China","N","2013/12/12","Influenza A virus (A/Beijinghuairou/746/2013(H3N2))","","","","","","c"
"MH393241","1701","Human","4 (HA)","H3N2","China","N","2013/12/16","Influenza A virus (A/China/231/2013)","","","","","","c"
"MG196332","1701","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/Beijing/11867/2013(H3N2))","","","","","","c"
"MK641739","1701","Human","4 (HA)","H3N2","China","N","2013/12/29","Influenza A virus (A/China/51045/2013)","","","","","","c"
"MK641740","1701","Human","4 (HA)","H3N2","China","N","2014/01/06","Influenza A virus (A/China/51323/2014)","","","","","","c"
"MK641741","1701","Human","4 (HA)","H3N2","China","N","2014/01/06","Influenza A virus (A/China/51340/2014)","","","","","","c"
"MG196330","1701","Human","4 (HA)","H3N2","China","N","2014/01/14","Influenza A virus (A/Beijing/0015/2014(H3N2))","","","","","","c"
"MG196331","1701","Human","4 (HA)","H3N2","China","N","2014/01/14","Influenza A virus (A/Beijing/0017/2014(H3N2))","","","","","","c"
"MK641742","1701","Human","4 (HA)","H3N2","China","N","2014/05/08","Influenza A virus (A/China/55254/2014)","","","","","","c"
"MK641743","1701","Human","4 (HA)","H3N2","China","N","2014/05/13","Influenza A virus (A/China/55312/2014)","","","","","","c"
"MF113165","1701","Human","4 (HA)","H3N2","China","N","2014/05/14","Influenza A virus (A/Guangdong/753/2014(H3N2))","","","","","","c"
"MF113164","1701","Human","4 (HA)","H3N2","China","N","2014/06/04","Influenza A virus (A/Guangdong/704/2014(H3N2))","","","","","","c"
"MF113163","1701","Human","4 (HA)","H3N2","China","N","2014/06/10","Influenza A virus (A/Guangdong/671/2014(H3N2))","","","","","","c"
"MF113166","1701","Human","4 (HA)","H3N2","China","N","2014/06/12","Influenza A virus (A/Guangdong/748/2014(H3N2))","","","","","","c"
"MF113167","1701","Human","4 (HA)","H3N2","China","N","2014/06/20","Influenza A virus (A/Guangdong/802/2014(H3N2))","","","","","","c"
"MH393242","1701","Human","4 (HA)","H3N2","China","N","2014/07/21","Influenza A virus (A/China/537/2014)","","","","","","c"
"MF593708","1701","Human","4 (HA)","H3N2","China","N","2014/08/01","Influenza A virus (A/Shandong-Zhifu/1508/2014(H3N2))","","","","","","c"
"MH393243","1701","Human","4 (HA)","H3N2","China","N","2014/08/04","Influenza A virus (A/China/597/2014)","","","","","","c"
"MH393244","1701","Human","4 (HA)","H3N2","China","N","2014/08/11","Influenza A virus (A/China/604/2014)","","","","","","c"
"MH393245","1701","Human","4 (HA)","H3N2","China","N","2014/08/26","Influenza A virus (A/China/608/2014)","","","","","","c"
"MF593702","1701","Human","4 (HA)","H3N2","China","N","2014/08/31","Influenza A virus (A/Shandong-Fushan/1415/2014(H3N2))","","","","","","c"
"MF593704","1701","Human","4 (HA)","H3N2","China","N","2014/08/31","Influenza A virus (A/Shandong-Zhifu/1468/2014(H3N2))","","","","","","c"
"MF593705","1701","Human","4 (HA)","H3N2","China","N","2014/08/31","Influenza A virus (A/Shandong-Fushan/1414/2014(H3N2))","","","","","","c"
"MF593706","1701","Human","4 (HA)","H3N2","China","N","2014/09/01","Influenza A virus (A/Shandong-Zhifu/1470/2014(H3N2))","","","","","","c"
"MF593711","1701","Human","4 (HA)","H3N2","China","N","2014/09/22","Influenza A virus (A/Shandong-Fushan/1433/2014(H3N2))","","","","","","c"
"MF593712","1701","Human","4 (HA)","H3N2","China","N","2014/09/26","Influenza A virus (A/Shandong-Fushan/144/2014(H3N2))","","","","","","c"
"MF593707","1701","Human","4 (HA)","H3N2","China","N","2014/10/05","Influenza A virus (A/Shandong-Zhifu/1499/2014(H3N2))","","","","","","c"
"MK641744","1701","Human","4 (HA)","H3N2","China","N","2014/10/28","Influenza A virus (A/China/QH34/2014)","","","","","","c"
"KX687779","1701","Human","4 (HA)","H3N2","China","N","2014/11/03","Influenza A virus (A/Beijingdongcheng/1026/2014(H3N2))","","","","","","c"
"MF593701","1701","Human","4 (HA)","H3N2","China","N","2014/11/07","Influenza A virus (A/Shandong-Zhifu/1614/2014(H3N2))","","","","","","c"
"MK641745","1701","Human","4 (HA)","H3N2","China","N","2014/11/14","Influenza A virus (A/China/59100/2014)","","","","","","c"
"MK641746","1701","Human","4 (HA)","H3N2","China","N","2014/11/14","Influenza A virus (A/China/59882/2014)","","","","","","c"
"MK641747","1701","Human","4 (HA)","H3N2","China","N","2014/11/18","Influenza A virus (A/China/60130/2014)","","","","","","c"
"MK641748","1701","Human","4 (HA)","H3N2","China","N","2014/11/18","Influenza A virus (A/China/60134/2014)","","","","","","c"
"KX687774","1701","Human","4 (HA)","H3N2","China","N","2014/11/24","Influenza A virus (A/Beijingxicheng/1045/2014(H3N2))","","","","","","c"
"MF593700","1701","Human","4 (HA)","H3N2","China","N","2014/11/24","Influenza A virus (A/Shandong-Zhifu/1667/2014(H3N2))","","","","","","c"
"MK641749","1701","Human","4 (HA)","H3N2","China","N","2014/11/25","Influenza A virus (A/China/60376/2014)","","","","","","c"
"KX687778","1701","Human","4 (HA)","H3N2","China","N","2014/11/27","Influenza A virus (A/Beijingdongcheng/0114/2014(H3N2))","","","","","","c"
"KX687777","1701","Human","4 (HA)","H3N2","China","N","2014/12/01","Influenza A virus (A/Beijingfengtai/0036/2014(H3N2))","","","","","","c"
"KX687776","1701","Human","4 (HA)","H3N2","China","N","2014/12/06","Influenza A virus (A/Beijingfengtai/0041/2014(H3N2))","","","","","","c"
"MK641750","1701","Human","4 (HA)","H3N2","China","N","2014/12/09","Influenza A virus (A/China/J7503/2014)","","","","","","c"
"MK641751","1701","Human","4 (HA)","H3N2","China","N","2014/12/09","Influenza A virus (A/China/60938/2014)","","","","","","c"
"MK641752","1701","Human","4 (HA)","H3N2","China","N","2014/12/09","Influenza A virus (A/China/60950/2014)","","","","","","c"
"MK641753","1701","Human","4 (HA)","H3N2","China","N","2014/12/09","Influenza A virus (A/China/J7525/2014)","","","","","","c"
"MK641754","1701","Human","4 (HA)","H3N2","China","N","2014/12/09","Influenza A virus (A/China/J7506/2014)","","","","","","c"
"MK641755","1701","Human","4 (HA)","H3N2","China","N","2014/12/09","Influenza A virus (A/China/60952/2014)","","","","","","c"
"MK641756","1701","Human","4 (HA)","H3N2","China","N","2014/12/09","Influenza A virus (A/China/60956/2014)","","","","","","c"
"MK641757","1701","Human","4 (HA)","H3N2","China","N","2014/12/11","Influenza A virus (A/China/60701/2014)","","","","","","c"
"MK641758","1701","Human","4 (HA)","H3N2","China","N","2014/12/16","Influenza A virus (A/China/61252/2014)","","","","","","c"
"MK641760","1701","Human","4 (HA)","H3N2","China","N","2014/12/16","Influenza A virus (A/China/J7603/2014)","","","","","","c"
"MK641761","1701","Human","4 (HA)","H3N2","China","N","2014/12/16","Influenza A virus (A/China/61244/2014)","","","","","","c"
"MK641762","1701","Human","4 (HA)","H3N2","China","N","2014/12/16","Influenza A virus (A/China/61247/2014)","","","","","","c"
"MK641764","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/61391/2014)","","","","","","c"
"MK641766","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/61013/2014)","","","","","","c"
"MK641767","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/60736/2014)","","","","","","c"
"MK641768","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/60786/2014)","","","","","","c"
"MK641769","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/61001/2014)","","","","","","c"
"MK641770","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/61369/2014)","","","","","","c"
"MK641771","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/61309/2014)","","","","","","c"
"MK641772","1701","Human","4 (HA)","H3N2","China","N","2014/12/18","Influenza A virus (A/China/L83/2014)","","","","","","c"
"MK641773","1701","Human","4 (HA)","H3N2","China","N","2014/12/19","Influenza A virus (A/China/61520/2014)","","","","","","c"
"MK641775","1701","Human","4 (HA)","H3N2","China","N","2014/12/19","Influenza A virus (A/China/61238/2014)","","","","","","c"
"MH346485","1701","Human","4 (HA)","H3N2","China","N","2014/12/23","Influenza A virus (A/Shanghai/2014-06/2014)","","","","","","c"
"MK641776","1701","Human","4 (HA)","H3N2","China","N","2014/12/23","Influenza A virus (A/China/61559/2014)","","","","","","c"
"MK641777","1701","Human","4 (HA)","H3N2","China","N","2014/12/23","Influenza A virus (A/China/61452/2014)","","","","","","c"
"MK641778","1701","Human","4 (HA)","H3N2","China","N","2014/12/23","Influenza A virus (A/China/61481/2014)","","","","","","c"
"MK641779","1701","Human","4 (HA)","H3N2","China","N","2014/12/24","Influenza A virus (A/China/61499/2014)","","","","","","c"
"MF113168","1701","Human","4 (HA)","H3N2","China","N","2015/01/06","Influenza A virus (A/Guangdong/8/2015(H3N2))","","","","","","c"
"MF113169","1701","Human","4 (HA)","H3N2","China","N","2015/01/07","Influenza A virus (A/Guangdong/55/2015(H3N2))","","","","","","c"
"KX687772","1701","Human","4 (HA)","H3N2","China","N","2015/01/12","Influenza A virus (A/Beijinghuairou/0493/2015(H3N2))","","","","","","c"
"KX687775","1701","Human","4 (HA)","H3N2","China","N","2015/01/12","Influenza A virus (A/Beijinghuairou/0496/2015(H3N2))","","","","","","c"
"KX687773","1701","Human","4 (HA)","H3N2","China","N","2015/01/13","Influenza A virus (A/Beijinghuairou/0495/2015(H3N2))","","","","","","c"
"MK641780","1701","Human","4 (HA)","H3N2","China","N","2015/01/27","Influenza A virus (A/China/62885/2015)","","","","","","c"
"MK641781","1701","Human","4 (HA)","H3N2","China","N","2015/01/27","Influenza A virus (A/China/62889/2015)","","","","","","c"
"MK641782","1701","Human","4 (HA)","H3N2","China","N","2015/01/27","Influenza A virus (A/China/62895/2015)","","","","","","c"
"MF113171","1701","Human","4 (HA)","H3N2","China","N","2015/02/02","Influenza A virus (A/Guangdong/97/2015(H3N2))","","","","","","c"
"MF113170","1701","Human","4 (HA)","H3N2","China","N","2015/02/03","Influenza A virus (A/Guangdong/85/2015(H3N2))","","","","","","c"
"MK641783","1701","Human","4 (HA)","H3N2","China","N","2015/02/17","Influenza A virus (A/China/63513/2015)","","","","","","c"
"MF113172","1701","Human","4 (HA)","H3N2","China","N","2015/02/21","Influenza A virus (A/Guangdong/116/2015(H3N2))","","","","","","c"
"MK641784","1701","Human","4 (HA)","H3N2","China","N","2015/02/23","Influenza A virus (A/China/63615/2015)","","","","","","c"
"MF113173","1701","Human","4 (HA)","H3N2","China","N","2015/03/04","Influenza A virus (A/Guangdong/138/2015(H3N2))","","","","","","c"
"MF593713","1701","Human","4 (HA)","H3N2","China","N","2015/03/05","Influenza A virus (A/Shandong-Fushan/1121/2015(H3N2))","","","","","","c"
"MF113174","1701","Human","4 (HA)","H3N2","China","N","2015/03/24","Influenza A virus (A/Guangdong/188/2015(H3N2))","","","","","","c"
"KY273058","1701","Human","4 (HA)","H3N2","China","N","2015/05/17","Influenza A virus (A/Xiamen/s54/2015(H3N2))","","","","","","c"
"KY273065","1701","Human","4 (HA)","H3N2","China","N","2015/06/05","Influenza A virus (A/Xiamen/s21/2015(H3N2))","","","","","","c"
"KY273055","1701","Human","4 (HA)","H3N2","China","N","2015/06/08","Influenza A virus (A/Xiamen/s22/2015(H3N2))","","","","","","c"
"KY273060","1701","Human","4 (HA)","H3N2","China","N","2015/06/09","Influenza A virus (A/Xiamen/s5/2015(H3N2))","","","","","","c"
"MF113176","1701","Human","4 (HA)","H3N2","China","N","2015/06/28","Influenza A virus (A/Guangdong/583/2015(H3N2))","","","","","","c"
"KY273061","1701","Human","4 (HA)","H3N2","China","N","2015/07/01","Influenza A virus (A/Xiamen/s35/2015(H3N2))","","","","","","c"
"MF113175","1701","Human","4 (HA)","H3N2","China","N","2015/07/01","Influenza A virus (A/Guangdong/580/2015(H3N2))","","","","","","c"
"MF113177","1701","Human","4 (HA)","H3N2","China","N","2015/07/07","Influenza A virus (A/Guangdong/616/2015(H3N2))","","","","","","c"
"KY273053","1701","Human","4 (HA)","H3N2","China","N","2015/07/13","Influenza A virus (A/Xiamen/s77/2015(H3N2))","","","","","","c"
"KY273059","1701","Human","4 (HA)","H3N2","China","N","2015/07/13","Influenza A virus (A/Xiamen/s70/2015(H3N2))","","","","","","c"
"KY273063","1701","Human","4 (HA)","H3N2","China","N","2015/07/13","Influenza A virus (A/Xiamen/s87/2015(H3N2))","","","","","","c"
"KY273057","1701","Human","4 (HA)","H3N2","China","N","2015/07/14","Influenza A virus (A/Xiamen/s80/2015(H3N2))","","","","","","c"
"MK641785","1701","Human","4 (HA)","H3N2","China","N","2015/07/22","Influenza A virus (A/China/66886/2015)","","","","","","c"
"KY273054","1701","Human","4 (HA)","H3N2","China","N","2015/07/24","Influenza A virus (A/Xiamen/s74/2015(H3N2))","","","","","","c"
"MK641786","1701","Human","4 (HA)","H3N2","China","N","2015/07/31","Influenza A virus (A/China/67066/2015)","","","","","","c"
"MF113178","1701","Human","4 (HA)","H3N2","China","N","2015/08/11","Influenza A virus (A/Guangdong/716/2015(H3N2))","","","","","","c"
"KY273062","1701","Human","4 (HA)","H3N2","China","N","2015/08/14","Influenza A virus (A/Xiamen/s76/2015(H3N2))","","","","","","c"
"MF113179","1701","Human","4 (HA)","H3N2","China","N","2015/08/17","Influenza A virus (A/Guangdong/724/2015(H3N2))","","","","","","c"
"KY273064","1701","Human","4 (HA)","H3N2","China","N","2015/08/24","Influenza A virus (A/Xiamen/s108/2015(H3N2))","","","","","","c"
"KY273066","1701","Human","4 (HA)","H3N2","China","N","2015/08/24","Influenza A virus (A/Xiamen/s99/2015(H3N2))","","","","","","c"
"MK641787","1701","Human","4 (HA)","H3N2","China","N","2015/08/24","Influenza A virus (A/China/67013/2015)","","","","","","c"
"MF113180","1701","Human","4 (HA)","H3N2","China","N","2015/09/09","Influenza A virus (A/Guangdong/743/2015(H3N2))","","","","","","c"
"MF593714","1701","Human","4 (HA)","H3N2","China","N","2015/09/29","Influenza A virus (A/Shandong-Fushan/1413/2015(H3N2))","","","","","","c"
"MF593715","1701","Human","4 (HA)","H3N2","China","N","2015/09/29","Influenza A virus (A/Shandong-Fushan/1414/2015(H3N2))","","","","","","c"
